Date,Predicted_Price,Ticker,Execution_Timestamp
2026-01-24,259.0092,AAPL,2026-01-25 14:56:00
2026-01-25,258.1755,AAPL,2026-01-25 14:56:00
2026-01-26,257.64697,AAPL,2026-01-25 14:56:00
2026-01-27,257.334,AAPL,2026-01-25 14:56:00
2026-01-28,257.1721,AAPL,2026-01-25 14:56:00
2026-01-29,257.11478,AAPL,2026-01-25 14:56:00
2026-01-30,257.1292,AAPL,2026-01-25 14:56:00
2026-01-24,254.63962,AAPL,2026-01-25 15:02:06
2026-01-25,253.76112,AAPL,2026-01-25 15:02:06
2026-01-26,253.09364,AAPL,2026-01-25 15:02:06
2026-01-27,252.56798,AAPL,2026-01-25 15:02:06
2026-01-28,252.13823,AAPL,2026-01-25 15:02:06
2026-01-29,251.77377,AAPL,2026-01-25 15:02:06
2026-01-30,251.4542,AAPL,2026-01-25 15:02:06
2026-01-24,256.4461,AAPL,2026-01-25 15:07:25
2026-01-25,255.47792,AAPL,2026-01-25 15:07:25
2026-01-26,254.76196,AAPL,2026-01-25 15:07:25
2026-01-27,254.23378,AAPL,2026-01-25 15:07:25
2026-01-28,253.84444,AAPL,2026-01-25 15:07:25
2026-01-29,253.55739,AAPL,2026-01-25 15:07:25
2026-01-30,253.34529,AAPL,2026-01-25 15:07:25
2026-01-24,261.01672,AAPL,2026-01-25 15:12:48
2026-01-25,260.15814,AAPL,2026-01-25 15:12:48
2026-01-26,259.6169,AAPL,2026-01-25 15:12:48
2026-01-27,259.3176,AAPL,2026-01-25 15:12:48
2026-01-28,259.19394,AAPL,2026-01-25 15:12:48
2026-01-29,259.19434,AAPL,2026-01-25 15:12:48
2026-01-30,259.28027,AAPL,2026-01-25 15:12:48
2026-01-24,254.17673,AAPL,2026-01-25 15:18:34
2026-01-25,253.1694,AAPL,2026-01-25 15:18:34
2026-01-26,252.36317,AAPL,2026-01-25 15:18:34
2026-01-27,251.70761,AAPL,2026-01-25 15:18:34
2026-01-28,251.16281,AAPL,2026-01-25 15:18:34
2026-01-29,250.69777,AAPL,2026-01-25 15:18:34
2026-01-30,250.28934,AAPL,2026-01-25 15:18:34
2026-01-24,255.23468,AAPL,2026-01-25 15:38:03
2026-01-25,254.27847,AAPL,2026-01-25 15:38:03
2026-01-26,253.50984,AAPL,2026-01-25 15:38:03
2026-01-27,252.88303,AAPL,2026-01-25 15:38:03
2026-01-28,252.36159,AAPL,2026-01-25 15:38:03
2026-01-29,251.91815,AAPL,2026-01-25 15:38:03
2026-01-30,251.53235,AAPL,2026-01-25 15:38:03
2026-01-24,258.1519,AAPL,2026-01-25 15:39:26
2026-01-25,257.2517,AAPL,2026-01-25 15:39:26
2026-01-26,256.5823,AAPL,2026-01-25 15:39:26
2026-01-27,256.09607,AAPL,2026-01-25 15:39:26
2026-01-28,255.74951,AAPL,2026-01-25 15:39:26
2026-01-29,255.50612,AAPL,2026-01-25 15:39:26
2026-01-30,255.33678,AAPL,2026-01-25 15:39:26
2026-01-24,258.35202,AAPL,2026-01-25 15:40:22
2026-01-25,257.4694,AAPL,2026-01-25 15:40:22
2026-01-26,256.8558,AAPL,2026-01-25 15:40:22
2026-01-27,256.43832,AAPL,2026-01-25 15:40:22
2026-01-28,256.16232,AAPL,2026-01-25 15:40:22
2026-01-29,255.98645,AAPL,2026-01-25 15:40:22
2026-01-30,255.88017,AAPL,2026-01-25 15:40:22
